,Unique Probes,Total Entries,Match
3_ANG_NES_+,4735,4735,True
1_EGF_SPR_+,10029,10029,True
2_EGF_NOV_SPR_+,10055,10055,True
3_EGF_SPR_+,10047,10047,True
1_S100P_-,10432,10432,True
2_S100P_-,10424,10424,True
1_DUSP1_+,9883,9883,True
2_DUSP1_+,10001,10001,True
1_FER_NTS_REN_+,8989,8989,True
1_FER_REN_+,10916,40511,False
2_FER_REN_+,10916,40583,False
3_FER_REN_+,10912,31088,False
1_CORT_CUTA_+,8604,8604,True
1_EPO_IDE_MAL_RAN_REN_STS_UNG_+,10503,10503,True
2_EPO_IDE_MAL_RAN_REN_STS_UNG_+,10536,10536,True
3_EPO_IDE_MAL_RAN_REN_STS_UNG_+,10546,10546,True
1_CIC_-,9758,9758,True
2_CIC_-,9783,9783,True
3_CIC_-,9771,9771,True
4_CIC_-,9647,9647,True
1_POU2F1_+,9798,9798,True
2_POU2F1_+,9816,9816,True
1_SCAP_+,10550,10550,True
2_SCAP_+,10663,10663,True
3_SCAP_+,10648,10648,True
4_SCAP_+,10668,10668,True
5_SCAP_+,10665,10665,True
6_SCAP_+,10663,10663,True
7_SCAP_+,10648,10648,True
1_TP53_-,10346,10346,True
1_MAX_SMO_-,9078,9078,True
1_DACH1_+,10277,10277,True
1_CAT_IDE_NES_+,9042,9042,True
2_CAT_IDE_NES_+,8902,8902,True
1_RAN_-,9404,15067,False
1_REN_-,10585,10585,True
2_REN_-,10573,10573,True
3_REN_-,10544,10544,True
4_REN_-,10511,10511,True
5_REN_-,10566,10566,True
1_BRE_RAN_TRO_+,10353,10353,True
2_BRE_RAN_TRO_+,10380,10380,True
1_RAN_SET_VWF_+,10455,10455,True
2_RAN_SET_VWF_+,10474,10474,True
1_KLF4_+,10600,10600,True
1_CBFA2T3_-,10315,10315,True
2_CBFA2T3_-,10324,10324,True
3_CBFA2T3_-,10331,10331,True
1_RELA_-,10402,10402,True
2_RELA_-,10431,10431,True
1_SET_WAS_+,10649,10649,True
1_NOTCH1_+,10532,10532,True
2_NOTCH1_+,10549,10549,True
1_TNF_+,10920,40686,False
2_TNF_+,10910,30905,False
3_TNF_+,10834,20918,False
1_DTL_+,10414,10414,True
1_ATM_WAS_+,9952,9952,True
2_ATM_WAS_+,9879,9879,True
3_ATM_WAS_+,9931,9931,True
1_EZH2_-,10888,30312,False
2_EZH2_-,10857,29933,False
3_EZH2_-,10879,30020,False
4_EZH2_-,10881,29984,False
5_EZH2_-,10737,19863,False
1_USP2_+,10675,30614,False
2_USP2_+,10218,10218,True
3_USP2_+,10283,10283,True
4_USP2_+,10226,10226,True
1_ACR_RAN_SET_WAS_+,10275,10275,True
1_SOD1_+,9702,9702,True
1_CYLD_+,10174,10174,True
2_CYLD_+,10245,10245,True
3_CYLD_+,10281,10281,True
4_CYLD_+,10135,10135,True
5_CYLD_+,10169,10169,True
1_PI3_+,10118,10118,True
1_LRPPRC_+,10269,10269,True
2_LRPPRC_+,10289,10289,True
3_LRPPRC_+,10312,10312,True
4_LRPPRC_+,10308,10308,True
5_LRPPRC_+,10311,10311,True
6_LRPPRC_+,10315,10315,True
1_CD34_+,10884,30801,False
1_FER_REN_WAS_-,10286,10286,True
2_FER_REN_WAS_-,10268,10268,True
3_FER_REN_WAS_-,10295,10295,True
1_CDC25C_+,9895,9895,True
1_ARC_IDE_MAL_MET_MPO_NES_NIN_NOG_POR_TRO_+,9911,9911,True
2_ARC_IDE_MAL_MET_MPO_NES_NIN_NOG_POR_TRO_+,10155,10155,True
3_ARC_IDE_MAL_MET_MPO_NES_NIN_NOG_POR_TRO_+,10001,10001,True
3_TES_+,10309,10309,True
1_CD14_MICE_+,9358,9358,True
1_EGF_FER_LYZ_NES_NOV_REN_TAT_+,10472,10472,True
1_Colorectal-cancer-vs-normal_+,10442,10442,True
1_DSG2_+,10547,10547,True
1_QKI_SET_-,9871,9871,True
2_QKI_SET_-,9873,9873,True
1_IGF2_PUM2_-,9923,9923,True
1_IDE_RAN_TES_+,9872,9872,True
1_BMP4_FGF2_+,10215,10215,True
1_CAST_+,10026,10026,True
1_ARC_LOR_WAS_+,10644,10644,True
2_ARC_LOR_WAS_+,10636,10636,True
3_ARC_LOR_WAS_+,10630,10630,True
1_BRCA1_-,10288,10288,True
1_GNE_-,9697,9697,True
1_ATM_IDE_LAT_NTS_POR_SAG_TAT_TRO_-,10401,10401,True
2_ATM_IDE_LAT_NTS_POR_SAG_TAT_TRO_-,10370,10370,True
1_BRE_RAN_TRO_WAS_-,10542,10542,True
2_BRE_RAN_TRO_WAS_-,10564,10564,True
3_BRE_RAN_TRO_WAS_-,10430,10430,True
1_COL14A1_+,10530,10530,True
1_IRF3_NNAT_+,10231,10231,True
2_IRF3_NNAT_+,10274,10274,True
3_IRF3_NNAT_+,10264,10264,True
1_LAT_MET_TRO_WAS_-,8982,8982,True
2_LAT_MET_TRO_WAS_-,9038,9038,True
1_SRF_-,9331,9331,True
2_SRF_-,9351,9351,True
1_CBS_+,10256,10256,True
1_ALK_PHOX2B_-,10089,10089,True
2_ALK_PHOX2B_-,10336,10336,True
1_SMYD2_+,10485,10485,True
2_SMYD2_+,10450,10450,True
3_SMYD2_+,10461,10461,True
1_KDM1B_-,9472,9472,True
1_OTX2_+,10217,10217,True
2_OTX2_+,10167,10167,True
3_OTX2_+,10175,10175,True
1_ANG_+,10225,10225,True
1_IRF7_IRF9_+,10243,10243,True
1_BAP1_+,10047,10047,True
2_BAP1_+,10052,10052,True
1_ARTN_+,10349,10349,True
2_ARTN_+,10349,10349,True
3_ARTN_+,10347,10347,True
4_ARTN_+,10339,10339,True
5_ARTN_+,10331,10331,True
6_ARTN_+,10312,10312,True
7_ARTN_+,10306,10306,True
1_TES_-,7745,7745,True
2_TES_-,7610,7610,True
1_COMP_IL10_+,9636,9636,True
2_COMP_IL10_+,9600,9600,True
3_COMP_IL10_+,9559,9559,True
1_ARC_BRE_REL_STS_+,10557,10557,True
2_ARC_BRE_REL_STS_+,10547,10547,True
3_ARC_BRE_REL_STS_+,10568,10568,True
4_ARC_BRE_REL_STS_+,10543,10543,True
5_ARC_BRE_REL_STS_+,10524,10524,True
6_ARC_BRE_REL_STS_+,10520,10520,True
3_PROC_+,10904,50468,False
4_FER_REN_+,10266,10266,True
5_FER_REN_+,10314,10314,True
6_FER_REN_+,10328,10328,True
1_ANG_FER_+,10653,10653,True
2_FER_+,10649,10649,True
3_FER_+,10650,10650,True
4_FER_+,10651,10651,True
5_ANG_+,10639,10639,True
6_ANG_+,10649,10649,True
7_ANG_+,10656,10656,True
1_CXCL11_+,9644,9644,True
2_CXCL11_+,9655,9655,True
3_CXCL11_+,9647,9647,True
4_CXCL11_+,9722,9722,True
1_MAL_TTL_+,10074,10074,True
2_MAL_STS_TTL_+,10040,10040,True
3_TTL_+,10072,10072,True
1_TRAC_+,10787,26042,False
2_TRAC_+,10606,20260,False
3_TRAC_+,10172,10172,True
4_TRAC_+,10179,10179,True
5_TRAC_+,10199,10199,True
1_REST_+,10396,10396,True
2_REST_+,10383,10383,True
3_REST_+,10414,10414,True
1_ST8SIA3_-,10215,10215,True
2_ST8SIA3_-,10210,10210,True
